student_id,course_code,semester,continuous_assessment_score,exam_score,final_grade,pass_fail_status,credit_weight
STD1000,CSC101,2,44,63,53.5,Pass,3
STD1000,CSC102,2,97,31,64.0,Pass,3
STD1000,ENG101,1,73,75,74.0,Pass,3
STD1001,MAT110,1,94,70,82.0,Pass,5
STD1001,PHY111,2,56,64,60.0,Pass,5
STD1001,CSC101,1,66,65,65.5,Pass,5
STD1002,ENG101,2,60,75,67.5,Pass,4
STD1002,PHY111,2,67,56,61.5,Pass,4
STD1002,CSC101,2,90,83,86.5,Pass,3
STD1003,CSC101,1,85,80,82.5,Pass,4
STD1003,ENG101,1,72,62,67.0,Pass,3
STD1003,MAT110,2,46,72,59.0,Pass,5
STD1004,ENG101,2,36,46,41.0,Fail,4
STD1004,CSC102,1,80,47,63.5,Pass,4
STD1004,MAT110,1,61,46,53.5,Pass,4
STD1005,CSC101,2,79,43,61.0,Pass,3
STD1005,CSC102,1,37,88,62.5,Pass,5
STD1005,ENG101,2,66,64,65.0,Pass,4
STD1006,CSC101,1,44,52,48.0,Fail,3
STD1006,PHY111,2,54,79,66.5,Pass,5
STD1006,MAT110,1,53,72,62.5,Pass,4
STD1007,ENG101,1,64,55,59.5,Pass,4
STD1007,MAT110,2,53,53,53.0,Pass,3
STD1007,CSC101,2,59,71,65.0,Pass,4
STD1008,CSC101,2,77,63,70.0,Pass,5
STD1008,PHY111,1,57,57,57.0,Pass,5
STD1008,MAT110,2,49,39,44.0,Fail,3
STD1009,PHY111,1,59,35,47.0,Fail,4
STD1009,MAT110,2,32,58,45.0,Fail,5
STD1009,CSC102,1,54,85,69.5,Pass,3
STD1010,CSC101,2,95,30,62.5,Pass,5
STD1010,CSC102,2,99,80,89.5,Pass,4
STD1010,ENG101,1,37,64,50.5,Pass,5
STD1011,CSC102,2,35,57,46.0,Fail,5
STD1011,PHY111,2,93,32,62.5,Pass,3
STD1011,MAT110,2,96,54,75.0,Pass,3
STD1012,CSC102,2,43,87,65.0,Pass,3
STD1012,ENG101,1,32,41,36.5,Fail,3
STD1012,CSC101,2,58,32,45.0,Fail,4
STD1013,CSC101,2,31,77,54.0,Pass,3
STD1013,PHY111,1,64,52,58.0,Pass,5
STD1013,CSC102,2,97,89,93.0,Pass,5
STD1014,ENG101,1,31,61,46.0,Fail,4
STD1014,CSC102,1,31,40,35.5,Fail,4
STD1014,PHY111,1,45,99,72.0,Pass,5
STD1015,PHY111,1,62,100,81.0,Pass,4
STD1015,CSC102,1,49,82,65.5,Pass,3
STD1015,MAT110,2,61,71,66.0,Pass,5
STD1016,MAT110,1,37,39,38.0,Fail,4
STD1016,ENG101,2,48,76,62.0,Pass,3
STD1016,CSC101,2,41,53,47.0,Fail,4
STD1017,MAT110,2,31,51,41.0,Fail,3
STD1017,PHY111,1,74,93,83.5,Pass,4
STD1017,CSC102,2,49,70,59.5,Pass,4
STD1018,ENG101,2,50,71,60.5,Pass,5
STD1018,CSC101,1,44,66,55.0,Pass,3
STD1018,PHY111,2,54,55,54.5,Pass,4
STD1019,ENG101,2,60,63,61.5,Pass,4
STD1019,PHY111,2,89,43,66.0,Pass,3
STD1019,CSC102,1,47,98,72.5,Pass,4
STD1020,CSC101,2,54,63,58.5,Pass,5
STD1020,ENG101,1,77,77,77.0,Pass,4
STD1020,MAT110,2,66,67,66.5,Pass,5
STD1021,ENG101,1,48,56,52.0,Pass,3
STD1021,CSC101,1,60,87,73.5,Pass,4
STD1021,CSC102,1,84,58,71.0,Pass,4
STD1022,MAT110,1,53,65,59.0,Pass,5
STD1022,ENG101,2,78,71,74.5,Pass,4
STD1022,CSC101,1,62,65,63.5,Pass,4
STD1023,CSC101,1,73,55,64.0,Pass,4
STD1023,MAT110,1,51,33,42.0,Fail,5
STD1023,PHY111,2,42,30,36.0,Fail,4
